,review_sent,developer
43435,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
23450,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
32374,1,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
52334,0,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
17811,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
6637,0,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
35775,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
23743,0,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
10752,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
23334,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
22642,0,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
17998,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
46679,1,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
46666,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
16854,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
12268,1,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
12273,1,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
26188,1,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
43774,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
7752,1,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
37651,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
9758,1,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
47468,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
46888,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
840,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
537,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
27480,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
46024,1,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
49761,0,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
15121,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
38828,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
14093,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
5277,0,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
21787,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
1778,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
44526,1,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
40209,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
33952,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
28051,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
14785,1,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
39716,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
14267,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
45096,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
38840,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
28283,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
41315,1,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
38241,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
24178,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
36133,0,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
47148,2,"2K Australia,Gearbox Software,Aspyr (Mac and Linux)"
50485,0,"2K Australia,Gearbox Software,Aspyr (Mac,Linux)"
28286,0,"2K Australia,Gearbox Software,Aspyr (Mac,Linux)"
20163,0,"2K Australia,Gearbox Software,Aspyr (Mac,Linux)"
31726,2,"2K Boston,2K Australia"
21624,1,"2K Boston,2K Australia"
17849,2,"2K Boston,2K Australia"
11162,2,"2K Boston,2K Australia"
27081,1,"2K Boston,2K Australia"
46239,2,"2K Boston,2K Australia"
11071,1,"2K Boston,2K Australia"
28056,2,"2K Boston,2K Australia"
7187,2,"2K Boston,2K Australia"
44572,2,"2K Boston,2K Australia"
10812,1,"2K Boston,2K Australia"
11242,2,"2K Boston,2K Australia"
24850,1,"2K Boston,2K Australia"
23483,2,"2K Boston,2K Australia"
38062,2,"2K Boston,2K Australia"
22379,2,"2K Boston,2K Australia"
51268,0,"2K Boston,2K Australia"
34337,2,"2K Boston,2K Australia"
29753,2,"2K Boston,2K Australia"
21436,2,"2K Boston,2K Australia"
14053,2,"2K Boston,2K Australia"
28909,2,"2K Boston,2K Australia"
46676,2,"2K Boston,2K Australia"
31785,1,"2K Boston,2K Australia"
25498,2,"2K Boston,2K Australia"
2006,2,"2K Boston,2K Australia"
14017,2,"2K Boston,2K Australia"
15822,2,"2K Boston,2K Australia"
12707,2,"2K Boston,2K Australia"
2601,0,"2K Boston,2K Australia"
16632,0,"2K Boston,2K Australia"
11703,2,"2K Boston,2K Australia"
4904,0,"2K Boston,2K Australia"
52932,2,"2K Boston,2K Australia"
24212,2,"2K Boston,2K Australia"
23877,0,"2K Boston,2K Australia"
44980,2,"2K Boston,2K Australia"
31098,2,"2K Boston,2K Australia"
30460,0,"2K Boston,2K Australia"
4787,2,"2K Boston,2K Australia"
34897,2,"2K Boston,2K Australia"
27738,0,"2K Boston,2K Australia"
43369,0,"2K Boston,2K Australia"
1680,2,"2K Boston,2K Australia"
15213,2,"2K Boston,2K Australia"
44353,2,"2K Boston,2K Australia"
33394,0,"2K Boston,2K Australia"
35384,2,"2K Boston,2K Australia"
18699,0,"2K Boston,2K Australia"
4623,2,"2K Boston,2K Australia"
8230,2,"2K Boston,2K Australia"
44793,2,"2K Boston,2K Australia"
3352,2,"2K Boston,2K Australia"
31243,0,"2K Boston,2K Australia"
37534,2,"2K Boston,2K Australia"
41342,2,"2K Boston,2K Australia"
8544,0,"2K Boston,2K Australia"
43561,2,"2K Boston,2K Australia"
39625,2,"2K Boston,2K Australia"
28288,2,"2K Boston,2K Australia"
19558,2,"2K Boston,2K Australia"
9351,2,"2K Boston,2K Australia"
49118,2,"2K Boston,2K Australia"
18275,2,"2K Boston,2K Australia"
16401,2,"2K Boston,2K Australia"
15348,2,"2K Boston,2K Australia"
23190,2,"2K Boston,2K Australia"
50954,2,"2K Boston,2K Australia"
16350,2,"2K Boston,2K Australia"
15338,1,"2K Boston,2K Australia"
38964,2,"2K Boston,2K Australia"
15181,2,"2K Boston,2K Australia,Blind Squirrel,Feral Interactive (Mac)"
27329,2,"2K Boston,2K Australia,Blind Squirrel,Feral Interactive (Mac)"
15287,2,"2K Boston,2K Australia,Blind Squirrel,Feral Interactive (Mac)"
13893,0,"2K Boston,2K Australia,Blind Squirrel,Feral Interactive (Mac)"
9377,2,"2K Boston,2K Australia,Blind Squirrel,Feral Interactive (Mac)"
8055,2,"2K Boston,2K Australia,Blind Squirrel,Feral Interactive (Mac)"
52947,1,"2K Czech,Feral Interactive (Mac)"
19749,2,"2K Czech,Feral Interactive (Mac)"
30787,2,"2K Czech,Feral Interactive (Mac)"
47168,1,"2K Czech,Feral Interactive (Mac)"
14130,2,"2K Czech,Feral Interactive (Mac)"
8847,1,"2K Czech,Feral Interactive (Mac)"
46768,2,"2K Czech,Feral Interactive (Mac)"
9768,2,"2K Czech,Feral Interactive (Mac)"
32442,1,"2K Czech,Feral Interactive (Mac)"
50713,1,"2K Czech,Feral Interactive (Mac)"
34652,0,"2K Czech,Feral Interactive (Mac)"
37771,1,"2K Czech,Feral Interactive (Mac)"
34929,2,"2K Czech,Feral Interactive (Mac)"
42369,2,"2K Czech,Feral Interactive (Mac)"
42044,2,"2K Czech,Feral Interactive (Mac)"
8216,1,"2K Czech,Feral Interactive (Mac)"
41863,0,"2K Czech,Feral Interactive (Mac)"
22734,2,"2K Czech,Feral Interactive (Mac)"
30181,2,"2K Czech,Feral Interactive (Mac)"
2599,2,"2K Czech,Feral Interactive (Mac)"
20112,0,"2K Czech,Feral Interactive (Mac)"
15355,2,"2K Czech,Feral Interactive (Mac)"
23048,2,"2K Czech,Feral Interactive (Mac)"
53410,1,"2K Czech,Feral Interactive (Mac)"
36244,2,"2K Czech,Feral Interactive (Mac)"
42223,2,"2K Czech,Feral Interactive (Mac)"
35315,2,"2K Czech,Feral Interactive (Mac)"
20618,2,"2K Czech,Feral Interactive (Mac)"
4121,0,"2K Czech,Feral Interactive (Mac)"
13727,2,"2K Czech,Feral Interactive (Mac)"
30931,1,"2K Czech,Feral Interactive (Mac)"
23785,2,"2K Czech,Feral Interactive (Mac)"
32074,0,"2K Czech,Feral Interactive (Mac)"
2175,2,"2K Czech,Feral Interactive (Mac)"
23905,1,"2K Czech,Feral Interactive (Mac)"
13495,1,"2K Czech,Feral Interactive (Mac)"
39762,2,"2K Czech,Feral Interactive (Mac)"
20794,1,"2K Czech,Feral Interactive (Mac)"
22248,1,"2K Czech,Feral Interactive (Mac)"
41167,1,"2K Czech,Feral Interactive (Mac)"
1402,2,"2K Czech,Feral Interactive (Mac)"
20837,2,"2K Czech,Feral Interactive (Mac)"
37796,2,"2K Czech,Feral Interactive (Mac)"
28168,2,2K Marin
35863,2,2K Marin
45105,2,2K Marin
3012,0,2K Marin
6909,2,2K Marin
38874,0,2K Marin
30170,2,2K Marin
40924,2,2K Marin
50181,2,2K Marin
19435,2,2K Marin
29954,0,2K Marin
49471,2,2K Marin
28691,0,2K Marin
28133,2,2K Marin
9355,2,"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)"
31242,0,"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)"
18697,0,"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)"
30459,0,"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)"
47873,2,"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)"
14993,2,"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)"
20655,2,"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)"
34896,2,"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)"
28747,2,"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)"
28090,0,"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)"
47296,2,"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)"
4885,1,"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)"
33604,2,"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)"
4621,2,"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)"
12062,2,"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)"
37530,2,"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)"
193,2,"2K Marin,2K China,Digital Extremes,2K Australia,Feral Interactive (Mac)"
26064,2,2Play
39700,2,2Play
20937,2,2Play
10904,0,2Play
12094,2,2Play
29253,2,2Play
40788,2,2Play
108,2,2Play
49991,1,2Play
46948,2,2Play
16859,2,2Play
25633,2,2x2 Games
42275,2,3 Sprockets
16707,0,3 Sprockets
41835,2,3 Sprockets
34794,2,3 Sprockets
4681,2,3 Sprockets
1858,2,3 Sprockets
6846,1,30.06 Studios Ltd
5683,0,3000AD
8354,2,"343 Industries,Vanguard Games"
47599,2,"343 Industries,Vanguard Games"
15453,0,3909
15456,2,3909
44947,2,3909
13529,2,3909
16218,2,3909
36929,2,3909
50148,2,3909
39573,1,3909
10839,2,3909
23906,2,3909
10844,2,3909
27106,2,3909
19510,2,3909
45612,1,3909
13027,2,3909
23996,0,3909
32453,2,3909
23963,1,3909
4713,1,3909
19677,2,3909
44038,0,3909
38555,2,3909
1382,2,3909
53936,2,3909
13342,2,3909
8057,2,3909
13462,2,3909
32783,2,3909
29626,1,3909
8123,0,3909
23268,2,3909
21805,2,3909
14908,0,3909
35538,2,3909
41620,1,3909
39102,0,3909
34788,2,3909
36123,2,3909
31216,2,3909
38425,2,3909
41180,2,3909
40413,2,3909
42402,0,3909
8662,0,3909
2749,2,3909
33179,2,3909
34545,0,3909
40304,0,3909
40166,2,3909
46920,2,3909
24185,0,3909
48076,2,3909
1123,2,3909
45578,2,3909
1742,2,3909
19281,2,3909
12727,2,3909
35877,2,3909
44760,2,3909
17316,2,3909
12654,2,3909
45588,2,3909
46600,2,3909
14330,0,3909
47621,1,3909
52619,2,3909
31585,2,3909
29129,2,3909
16927,1,3909
3,2,3909
50929,2,3909
29229,2,3909
46299,2,3909
43512,2,3909
51302,2,3909
42662,1,3909
28372,2,3909
50603,0,3909
48930,0,3909
39961,2,3909
42943,2,3D Realms (Apogee Software)
53421,2,3D Realms (Apogee Software)
4148,2,3f Interactive
51778,2,3f Interactive
21825,2,4 I Lab
30222,2,4 I Lab
15965,2,4 I Lab
8813,2,4 I Lab
16884,2,4 I Lab
16791,2,48h Studio
52188,1,49 Games
5140,1,4A Games
26281,2,4A Games
25387,2,4A Games
31321,2,4A Games
20536,1,4A Games
51273,0,4A Games
17042,2,4A Games
12089,2,4A Games
23114,2,4A Games
13441,2,4A Games
11681,0,4A Games
9274,1,4A Games
6110,2,4A Games
17873,2,4A Games
45809,2,4A Games
15977,2,4A Games
36367,1,4A Games
37624,2,4A Games
37044,1,4A Games
14597,2,4A Games
1618,2,4A Games
48887,1,4A Games
34485,2,4A Games
37522,1,4A Games
45004,0,4A Games
3393,2,4A Games
35633,2,4A Games
6099,2,4A Games
41697,2,4A Games
48105,2,4A Games
25148,2,4A Games
41324,2,5 Bits Games
16612,2,5 Bits Games
41477,2,5 Bits Games
23431,2,5 Lives Studios
19133,2,5Wolf
1557,1,5Wolf
37587,1,5Wolf
588,2,5Wolf
9562,0,5Wolf
3765,0,5Wolf
15941,0,5Wolf
46807,1,5Wolf
34781,1,5Wolf
34982,2,5Wolf
31288,1,5Wolf
13760,2,5th Cell Media
13759,2,5th Cell Media
8881,2,5th Cell Media
15028,2,5th Cell Media
49430,1,5th Cell Media
775,2,5th Cell Media
15109,2,5th Cell Media
50503,2,5th Cell Media
38820,2,5th Cell Media
15014,2,5th Cell Media
24359,2,5th Cell Media
26767,2,5th Cell Media
41196,0,5th Cell Media
1978,2,5th Cell Media
550,2,5th Cell Media
10765,2,5th Cell Media
48790,2,5th Cell Media
48599,2,5th Cell Media
6155,1,5th Cell Media
36817,2,5th Cell Media
15635,0,5th Cell Media
23537,0,5th Cell Media
52901,2,5th Cell Media
38441,2,5th Cell Media
16679,2,5th Cell Media
50396,1,5th Cell Media
49548,2,5th Cell Media
21455,1,5th Cell Media
34293,2,5th Cell Media
14048,2,5th Cell Media
12215,2,5th Cell Media
48477,2,5th Cell Media
7424,2,5th Cell Media
52810,2,5th Cell Media
27189,1,5th Cell Media
50048,2,5th Cell Media
43537,2,5th Cell Media
53503,2,5th Cell Media
9854,2,5th Cell Media
10016,1,5th Cell Media
35518,1,5th Cell Media
23153,2,5th Cell Media
23220,2,5th Cell Media
24307,2,5th Cell Media
32451,2,773
999,0,777 Studios
50916,2,777 Studios
38155,2,777 Studios
15147,0,8-Bit Studio
33385,2,800 North and Digital Ranch
41254,0,800 North and Digital Ranch
30632,2,800 North and Digital Ranch
11554,2,800 North and Digital Ranch
37126,0,800 North and Digital Ranch
34779,2,800 North and Digital Ranch
46876,2,800 North and Digital Ranch
1219,1,800 North and Digital Ranch
33647,2,800 North and Digital Ranch
32814,2,800 North and Digital Ranch
22878,1,800 North and Digital Ranch
50683,2,800 North and Digital Ranch
25433,1,800 North and Digital Ranch
37353,0,800 North and Digital Ranch
30631,0,800 North and Digital Ranch
31600,0,800 North and Digital Ranch
50408,0,800 North and Digital Ranch
51441,1,800 North and Digital Ranch
37284,0,800 North and Digital Ranch
51660,0,800 North and Digital Ranch
48678,2,800 North and Digital Ranch
24606,2,800 North and Digital Ranch
10817,0,800 North and Digital Ranch
34687,2,800 North and Digital Ranch
34858,0,800 North and Digital Ranch
15512,0,800 North and Digital Ranch
10966,2,800 North and Digital Ranch
12914,1,800 North and Digital Ranch
48281,0,800 North and Digital Ranch
53268,1,800 North and Digital Ranch
13679,1,800 North and Digital Ranch
1700,2,800 North and Digital Ranch
2325,2,800 North and Digital Ranch
51882,2,800 North and Digital Ranch
33059,2,800 North and Digital Ranch
25719,2,800 North and Digital Ranch
22949,2,800 North and Digital Ranch
45535,2,800 North and Digital Ranch
15825,0,800 North and Digital Ranch
15447,2,800 North and Digital Ranch
13058,2,800 North and Digital Ranch
24895,2,800 North and Digital Ranch
4511,2,800 North and Digital Ranch
31786,1,800 North and Digital Ranch
30213,2,800 North and Digital Ranch
28201,1,800 North and Digital Ranch
40220,2,800 North and Digital Ranch
7792,0,800 North and Digital Ranch
35986,2,800 North and Digital Ranch
19313,1,800 North and Digital Ranch
31848,2,800 North and Digital Ranch
36288,1,800 North and Digital Ranch
3793,1,800 North and Digital Ranch
22327,2,800 North and Digital Ranch
4245,1,800 North and Digital Ranch
19695,2,800 North and Digital Ranch
21085,1,800 North and Digital Ranch
21067,2,800 North and Digital Ranch
22573,0,800 North and Digital Ranch
49345,1,800 North and Digital Ranch
47625,2,800 North and Digital Ranch
20070,0,800 North and Digital Ranch
20606,2,800 North and Digital Ranch
49535,1,800 North and Digital Ranch
32562,0,800 North and Digital Ranch
40368,2,800 North and Digital Ranch
13026,2,8888888 LABS
41475,0,8888888 LABS
25631,2,88mm
29552,2,8monkey Labs
3412,2,9heads Game Studios
46449,0,9heads Game Studios
41733,1,9heads Game Studios
48851,2,9heads Game Studios
16371,0,9heads Game Studios
34725,2,9heads Game Studios
44162,0,9heads Game Studios
17617,2,9heads Game Studios
43869,0,9heads Game Studios
28760,0,9heads Game Studios
25827,2,9heads Game Studios
11268,2,9heads Game Studios
11941,2,9heads Game Studios
45045,0,9heads Game Studios
41045,2,@unepic_fran
31326,0,@unepic_fran
6532,2,@unepic_fran
23752,2,@unepic_fran
38222,2,@unepic_fran
6528,2,@unepic_fran
26477,2,@unepic_fran
52550,1,A Crowd of Monsters
35617,0,A Crowd of Monsters
4909,2,A Jolly Corpse
16637,2,A Jolly Corpse
1851,2,ACE MADDOX
10256,2,ACE Team
35397,1,ACE Team
24791,0,ACE Team
49887,0,ACE Team
31793,0,ACE Team
20089,2,ACE Team
29151,0,ACE Team
24745,2,ACE Team
1,2,ACE Team
8243,1,ACE Team
635,0,ACE Team
41413,2,ACE Team
31879,0,ACE Team
31887,0,ACE Team
17922,2,ACE Team
6814,2,ACQUIRE Corp.
6912,0,ACQUIRE Corp.
17825,2,ACQUIRE Corp.
7405,2,ACQUIRE Corp.
19265,2,ACQUIRE Corp.
14124,2,ACQUIRE Corp.
26670,2,ACQUIRE Corp.
36185,2,ACQUIRE Corp.
17832,2,ACQUIRE Corp.
4955,2,AGC
9691,1,AGC
41562,0,AGC
53840,1,AGC
18737,2,ALICE IN DISSONANCE
18182,2,ALICE IN DISSONANCE
656,2,ALICE IN DISSONANCE
18183,2,ALICE IN DISSONANCE
5899,1,ALLPlayer Group Ltd.
9435,0,AMPLITUDE Studios
19885,2,AMPLITUDE Studios
33052,1,AMPLITUDE Studios
819,2,AMPLITUDE Studios
13692,2,AMPLITUDE Studios
45744,2,AMPLITUDE Studios
7490,1,AMPLITUDE Studios
46811,1,AMPLITUDE Studios
3718,2,AMPLITUDE Studios
5077,0,AMPLITUDE Studios
36054,0,AMPLITUDE Studios
33459,0,AMPLITUDE Studios
2896,2,AMPLITUDE Studios
9540,2,AMPLITUDE Studios
16532,2,AMPLITUDE Studios
7504,2,AMPLITUDE Studios
27707,2,AMPLITUDE Studios
45417,2,AMPLITUDE Studios
3226,0,AMPLITUDE Studios
17957,2,AMPLITUDE Studios
9477,1,AMPLITUDE Studios
41091,2,AMPLITUDE Studios
41444,2,AMPLITUDE Studios
46330,1,AMPLITUDE Studios
6476,2,AMPLITUDE Studios
41947,2,AMPLITUDE Studios
11470,2,AMPLITUDE Studios
9086,2,AMPLITUDE Studios
46928,2,AMPLITUDE Studios
28202,2,AMPLITUDE Studios
22405,2,AMPLITUDE Studios
14919,1,AMPLITUDE Studios
11898,2,AMPLITUDE Studios
11903,2,AMPLITUDE Studios
16914,2,AMPLITUDE Studios
49038,2,AMPLITUDE Studios
15042,0,AMPLITUDE Studios
16916,0,AMPLITUDE Studios
16920,2,AMPLITUDE Studios
8506,2,AMPLITUDE Studios
28087,0,AMPLITUDE Studios
41784,2,AMPLITUDE Studios
46650,2,AMPLITUDE Studios
8211,2,AMPLITUDE Studios
749,2,AMPLITUDE Studios
746,2,AMPLITUDE Studios
25995,0,AZAMATIKA
47886,2,Abbey Games
42073,1,Abbey Games
36144,2,Abbey Games
46482,2,Abbey Games
10667,2,Abbey Games
15860,2,Abbey Games
41816,2,Abbey Games
34516,2,Abbey Games
17958,2,Abbey Games
12847,1,Abbey Games
41024,2,Abbey Games
18174,2,Abbey Games
31640,1,Abbey Games
12376,2,Abbey Games
9367,2,Abbey Games
18204,0,Abbey Games
4959,2,Abbey Games
387,2,Above and Beyond Technologies
7106,1,Abraham Carreola
21777,2,Abrakam SA
41471,2,Abrakam SA
10881,0,Abstract Tree Studio
31871,1,Abstract Tree Studio
23547,0,Abstraction Games
32311,2,Abstraction Games
21898,2,"Abstraction Games,WayForward"
27378,2,"Acceleroto, Inc."
25950,1,Access Games
4620,2,Access Games
18666,0,Acid Nerve
12607,2,Acid Nerve
379,2,Acid Nerve
38010,0,Acid Nerve
45888,0,Acid Nerve
35738,0,Actalogic
7698,2,Actalogic
10326,0,Actalogic
42098,1,"Action Button Entertainment, LLC"
31854,2,Adam Foster
3970,2,Adam Foster
39973,2,Adam Foster
44758,2,Adam Foster
33122,2,Adam Foster
31870,1,Adam Foster
13533,2,Adam Foster
53970,2,Aeon Dream Studios
45262,2,Afterthought LLC
47830,1,Afterthought LLC
4783,2,Afterthought LLC
4782,0,Afterthought LLC
47852,2,Afterthought LLC
6575,2,Airtight Games
38430,0,Airtight Games
35691,2,Airtight Games
2152,2,Airtight Games
36461,2,Airtight Games
27983,2,Airtight Games
32832,0,Airtight Games
17240,2,Airtight Games
16300,0,Airtight Games
10780,2,Airtight Games
12082,1,Airtight Games
20617,2,Airtight Games
26746,2,Aivaras Klimas
29729,1,Akakiy Petrushkin
13839,2,Akakiy Petrushkin
32936,2,"Akella,.dat"
3151,2,"AlPixel Games,Luis Diaz,Gustavo Santos,Albert Fernandez,Tice Thomason"
40359,2,"AlPixel Games,Luis Diaz,Gustavo Santos,Albert Fernandez,Tice Thomason"
34988,2,"AlPixel Games,Luis Diaz,Gustavo Santos,Albert Fernandez,Tice Thomason"
52745,2,"AlPixel Games,Luis Diaz,Gustavo Santos,Albert Fernandez,Tice Thomason"
