user_id,genres,release_year,playtime_forever
76561198026239418,Indie,2015,73744
bwolf7803,Action,2011,73588
piepai,Indie,2014,73121
76561197995418864,Action,2010,72304
76561197970137892,Action,2011,71959
76561198042170355,Adventure,2013,71958
76561198060808273,Action,2012,71794
VoxMaro,RPG,2012,71656
76561198063648921,Action,2013,71368
Steamified,Strategy,2016,70930
76561198018465863,Action,2011,70792
ronnietran,Action,2012,70664
REBAS_AS_F-T,Strategy,2015,70531
FrostyBlizzard,Action,2012,70220
livaris,Action,2011,70128
76561198047208452,Action,2013,69951
Terminally-Chill,Action,2012,69822
thiefofrosesinlalaland,Action,2014,69757
76561198048709944,Strategy,2010,69678
archy18,Action,2015,69255
76561198042170355,Action,2013,68973
samemint,Indie,2013,68601
TOP0409,RPG,2015,67359
REBAS_AS_F-T,Action,2011,66386
SweetSugar,Action,2010,66289
76561197978426585,RPG,2011,66156
76561198018465863,RPG,2011,65798
ronnietran,RPG,2012,65786
Urotsuki,Action,2011,65676
76561198055330941,Action,2012,65624
76561198056997935,Adventure,2011,65579
76561198057685527,Action,2012,65307
76561198066375702,RPG,2010,64894
76561198037702238,Action,2012,64822
bwolf7803,Action,2014,64752
RegularSmokeyJoe,Strategy,2013,64464
76561198126500843,Adventure,2017,64446
76561198045953692,Strategy,2010,64122
Ppkdoevil,Action,2012,63924
Terminally-Chill,Adventure,2012,63133
Duchvelka,Action,2012,62842
76561198008119091,Action,2010,62456
Sitchy,Action,2013,62190
Terminally-Chill,Action,2011,62169
76561198064484479,Action,2011,61852
Noggi31,Simulation,2013,61624
76561198064484479,Indie,2011,61466
Steamified,RPG,2016,61377
rabbidscool,Action,2013,61263
gangstapimpplaya,Action,2015,61161
Shredderman962,Action,2012,61026
76561197978426585,Action,2011,60734
Sitchy,Action,2012,60608
76561198019293015,Action,2013,60414
76561197995418864,Action,2015,60210
JohnnyMcShitty,Action,2015,60188
JayKayGray,Action,2015,59774
REBAS_AS_F-T,Simulation,2011,59315
PiozZ,Action,2015,59141
76561198055096033,Adventure,2015,59084
76561198055096033,Action,2015,59084
76561198047208452,Action,2012,58897
Unl33t,Action,2012,58858
Flabbernackle,Action,2012,58823
76561198057685527,Action,2013,58719
bwolf7803,Indie,2011,58508
Trooper6192,Free to Play,2012,58502
76561198047208452,Action,2014,58384
remedax,Action,2013,58367
LightningRod,Action,2015,58288
76561198057685527,Indie,2013,58227
subway103,Action,2012,58165
76561198033050980,Strategy,2013,57983
76561198056735088,RPG,2012,57972
Pinguinbeta18,Action,2012,57955
76561197978426585,Indie,2011,57870
76561198055096033,Strategy,2006,57780
76561198066621462,Action,2012,57770
Animax117,Adventure,2011,57722
Animax117,RPG,2011,57722
76561198053000587,Action,2013,57717
76561198055695334,Action,2012,57539
76561198064484479,RPG,2012,57490
xXAussieRockXx,Action,2012,57356
REBAS_AS_F-T,Adventure,2011,57346
76561198079627867,Indie,2016,57212
76561198079627867,Adventure,2016,57212
76561198070346631,RPG,2015,57206
76561198070346631,Action,2013,57194
piepai,RPG,2015,57048
76561198066375702,RPG,2011,56944
76561198066375702,Action,2011,56944
DopeOxide,Action,2012,56920
REBAS_AS_F-T,RPG,2013,56420
chidori_647,Adventure,2015,56414
Steamified,RPG,2015,56218
JohnnyMcShitty,Adventure,2015,56168
Steamified,Casual,2015,56063
76561198064484479,RPG,2011,55718
PiozZ,Adventure,2012,55689
baroshi,Action,2011,55529
CNAFE2364,Action,2011,55462
76561198061021230,Strategy,2010,55454
smcs,Action,2012,55316
76561198126500843,RPG,2017,55054
76561198126500843,Massively Multiplayer,2017,55054
Lickidactyl,Action,2012,54875
Cow666,Action,2015,54812
piepai,Action,2014,54673
76561198065340949,Action,2015,54648
76561198023904825,Action,2013,54463
76561198035999413,Action,2011,54427
skotavus,Action,2013,54230
76561198063648921,Action,2012,54182
Animax117,Indie,2011,53918
MinTony,Action,2012,53856
76561198026268722,Action,2012,53761
TheSuccIsGudd,Action,2011,53692
pieman98,Action,2011,53587
76561198063439860,Action,2015,53310
76561198065322400,Action,2012,53135
76561198028038497,Action,2015,52963
phrostb,Action,2015,52948
76561198022404680,Action,2011,52658
Steamified,Indie,2014,52625
76561198044128297,Action,2011,52612
76561198044128297,RPG,2011,52612
SKARRRMaera,Action,2012,52574
76561198018465863,Indie,2011,52494
Terminally-Chill,Strategy,2014,52391
76561198033992409,RPG,2014,52362
76561198026531048,Strategy,2013,52320
farquadspenis,Action,2012,52244
76561198020928326,Action,2012,52196
skotavus,Indie,2013,52012
L4M1NAS,Action,2012,51706
fyrerez,Action,2012,51687
76561198055096033,Strategy,2013,51678
76561197986468427,Action,2013,51625
76561198017659661,RPG,2012,51624
GhandiSikh,Simulation,2015,51605
REBAS_AS_F-T,Strategy,2013,51550
benji2d,Action,2012,51546
skotavus,Action,2012,51376
nitrorupe,Adventure,2015,51350
CarrotDick,Action,2015,51346
76561198064484479,Adventure,2011,51280
Flamesoul22,Action,2011,51215
Necrosc,Indie,2015,51127
REBAS_AS_F-T,Free to Play,2016,51116
meatsim009,Action,2012,51112
76561198047630659,Action,2012,50950
Remo191,Action,2011,50832
shinomegami,Strategy,2010,50828
76561198048240622,Action,2012,50820
Thundawich,Indie,2015,50819
samemint,Adventure,2012,50630
piepai,Strategy,2015,50623
AngusTheCow,Action,2011,50576
76561198056997935,Action,2011,50477
DieMadchenschanderin,Indie,2011,50450
DieMadchenschanderin,RPG,2011,50450
DieMadchenschanderin,Action,2011,50450
ZEM42,Action,2014,50418
Le-Mocha,Action,2012,50359
NinjaAssasin420,Action,2015,50334
76561198008302183,Strategy,2015,50306
76561198044023118,Massively Multiplayer,2014,50256
76561198044023118,RPG,2014,50256
customisedforsure,Action,2010,50225
samemint,Action,2011,50202
subway103,Adventure,2012,50152
minhtee,Action,2012,50138
minhtee,RPG,2012,50138
76561198007521657,Action,2015,50056
76561198027081791,RPG,2012,50049
REBAS_AS_F-T,RPG,2011,49965
DeployableDuck,Action,2015,49954
Harkugan,Action,2011,49772
Notasbadashitler,RPG,2012,49660
76561198000858214,Action,2012,49635
76561198018677971,RPG,2014,49590
vonravend,RPG,2015,49558
76561197998873955,Action,2013,49482
Trooper6192,Action,2015,49386
gottabesaints,Action,2013,49383
MinTony,Action,2011,49360
76561198024298436,Action,2012,49231
PiozZ,Action,2014,49105
76561198055179537,Action,2011,49066
VividPikselz,Strategy,2013,49035
76561197978426585,RPG,2013,49030
tobscene,Action,2012,49021
TandyTandon,Action,2011,48972
64512328,Action,2013,48966
76561198052268769,Adventure,2015,48954
76561198055632563,Strategy,2013,48921
niggerfag,Action,2011,48844
0071945,RPG,2015,48822
archy18,Action,2014,48801
rabbidscool,Adventure,2013,48791
PiozZ,Action,2010,48739
76561198044023118,Indie,2014,48720
76561198044023118,Action,2014,48720
FilthyDeath,Action,2012,48707
76561198052268769,Action,2015,48691
76561198011333937,Action,2013,48682
76561198054932978,Action,2012,48621
X03-Suits,RPG,2011,48612
X03-Suits,Action,2011,48612
X03-Suits,Indie,2011,48612
X03-Suits,Adventure,2011,48612
76561198041472164,RPG,2016,48598
Terminally-Chill,Indie,2013,48561
76561198042451234,Action,2012,48546
76561198041303312,Action,2011,48546
76561198034404849,Action,2012,48520
76561197978426585,Action,2012,48502
76561198081666970,Indie,2006,48495
76561198081666970,Simulation,2006,48495
76561198079627867,Action,2012,48482
purpledragonfun,Action,2012,48432
64512328,Action,2015,48426
reservegoalie,Action,2012,48364
76561197978426585,Strategy,2012,48324
76561197966979423,Strategy,2012,48255
76561198059107861,Action,2011,48126
76561198018736748,Action,2011,48126
remedax,Adventure,2013,48061
MinTony,Action,2013,48020
ArktiicFozzy,Action,2012,47960
76561198044128297,Indie,2011,47950
76561198047208452,Indie,2014,47888
76561198064484479,Action,2016,47844
Terminally-Chill,Action,2014,47807
76561198044128297,Action,2012,47784
76561198070346631,Indie,2013,47728
livaris,RPG,2011,47706
76561198056735088,Free to Play,2012,47618
MacGregorr,Action,2012,47550
76561198041472164,Indie,2016,47491
sergioxks1,Indie,2015,47444
76561198027233818,Action,2011,47362
DieMadchenschanderin,Adventure,2011,47354
thiefofrosesinlalaland,Adventure,2014,47286
gangstapimpplaya,Action,2013,47231
clawbot44,Simulation,2015,46938
Trooper6192,Strategy,2012,46894
76561198007488623,Strategy,2012,46801
76561198018677971,Action,2015,46742
-Azsael-,RPG,2014,46734
REBAS_AS_F-T,Action,2010,46701
Superdraco3314,Action,2011,46636
76561198056549802,Indie,2015,46611
Trooper6192,Massively Multiplayer,2012,46544
tobscene,RPG,2014,46479
76561198023904825,Action,2012,46472
76561198058230663,Action,2012,46388
stopgovtcorruption,Indie,2015,46353
76561198056735088,Adventure,2012,46312
76561198074254609,Action,2012,46294
76561197961124706,Action,2012,46247
Kebabsaregood,Strategy,2013,46180
76561198044593988,Action,2012,46171
bhajina,Action,2012,46155
kenny536,RPG,2014,46073
76561198006748755,Strategy,2010,46044
76561198026725437,Action,2010,46020
76561197978426585,Adventure,2011,46014
76561197995418864,Adventure,2015,45928
76561198081666970,RPG,2013,45915
76561198081666970,Indie,2013,45915
76561198081666970,Early Access,2013,45915
76561198081666970,Adventure,2013,45915
76561198081666970,Action,2013,45915
76561198081666970,Massively Multiplayer,2013,45915
76561198055096033,RPG,2015,45898
76561198065247809,Action,2012,45880
Global,Strategy,2015,45879
76561198055179537,Action,2013,45877
BananaCar,Simulation,2015,45874
whoopah,Action,2011,45864
bigodo,Action,2011,45692
76561198055330941,Simulation,2006,45608
76561198042170355,Action,2012,45596
76561198019669521,RPG,2015,45544
Terminally-Chill,Action,2010,45405
nitrorupe,Indie,2015,45394
13971397,Strategy,2010,45383
skaeren2190,RPG,2014,45368
76561198041284313,Action,2010,45365
Cow666,Action,2014,45362
Gilsham,Adventure,2015,45342
skotavus,RPG,2011,45325
76561197970580235,RPG,2010,45316
BananaCar,Indie,2015,45310
76561198052118118,Action,2012,45297
76561198063439860,RPG,2015,45283
TrippedSociety,Strategy,2009,45271
sad-commie,Simulation,2016,45218
tobscene,RPG,2015,45201
76561198072763246,Action,2016,45148
76561198046193884,Action,2013,45065
TandyTandon,Action,2012,45064
TandyTandon,RPG,2012,45064
DeEggMeister,Action,2012,45032
Kebabsaregood,Indie,2013,45018
Kebabsaregood,Massively Multiplayer,2013,45018
Kebabsaregood,Early Access,2013,45018
zeroepix,RPG,2014,44977
Unl33t,RPG,2014,44970
tobscene,RPG,2012,44952
briggsy195,Strategy,2013,44925
76561198056997935,Adventure,2012,44921
Howaboutsomegoodoldsuicide,Action,2014,44916
76561197985247422,Massively Multiplayer,2013,44884
76561197985247422,Indie,2013,44884
76561197985247422,Action,2013,44884
76561197985247422,Early Access,2013,44884
76561198001032055,Simulation,2015,44846
TheCheekyOne,Action,2012,44780
SzechuanB,Action,2014,44770
skotavus,RPG,2015,44740
livaris,Adventure,2011,44724
livaris,Indie,2011,44724
TuaMater,Action,2010,44708
76561198061021230,Action,2010,44682
76561198041562431,Action,2013,44626
76561198003447788,Action,2015,44558
Urotsuki,Action,2009,44546
Unl33t,Action,2014,44474
76561198106488845,Action,2015,44428
Shredderman962,Action,2013,44416
76561198055637876,Action,2012,44394
lordofgeckos,Action,2011,44382
76561197995483380,Action,2015,44297
76561198126500843,Action,2013,44290
phrostb,Indie,2015,44290
flamingpenguin,Action,2012,44262
76561197970137892,Action,2010,44258
76561197970137892,Action,2012,44227
76561198067582240,Strategy,2013,44174
76561198070346631,Early Access,2013,44162
Duchvelka,Action,2013,44136
Moskyto,Action,2013,44085
AngusTheCow,Adventure,2011,43988
sergioxks1,Action,2015,43986
sergioxks1,RPG,2015,43986
L4M1NAS,Indie,2012,43978
dmarket3,Action,2012,43966
76561198058230663,RPG,2013,43939
Talizaeus,Action,2010,43922
76561198052928427,Action,2009,43922
vonravend,Indie,2014,43859
TrippedSociety,Action,2010,43853
TDOJ3DTDO,Action,2015,43849
Quarity,Action,2016,43807
Sp3ctre,Action,2014,43751
mikeytyson,Action,2013,43748
76561198056735088,Massively Multiplayer,2012,43740
76561198072925402,Action,2012,43702
PiozZ,Action,2011,43669
76561198054678115,Action,2010,43655
phantom02k,Action,2015,43653
76561197995897347,Action,2010,43621
76561198025028245,Action,2013,43553
76561198072763246,Action,2012,43530
Harkugan,Action,2009,43518
Urtle1,Action,2015,43508
76561198032651953,Action,2013,43505
PiozZ,RPG,2013,43439
76561198045953692,Action,2011,43425
vonravend,RPG,2014,43411
76561198041472164,Action,2016,43399
76561198009649906,RPG,2010,43388
76561198064484479,RPG,2016,43382
76561198064484479,Casual,2016,43382
76561198064484479,Indie,2016,43382
76561198064484479,Adventure,2016,43382
Sitchy,Adventure,2013,43378
SmokaBluntos,Action,2011,43360
BillyDatKid,Action,2010,43358
lordoftheguppies,Action,2015,43337
76561198045540232,Action,2015,43291
76561198011743390,Action,2012,43263
AwesomeDoormat,Action,2012,43261
Stevio_Pistachio,Action,2011,43156
76561198024354149,Action,2012,43155
76561198015597183,Action,2012,43114
shinomegami,Action,2013,43048
76561198035472583,Action,2013,43025
76561198061149233,Action,2014,43021
farquadspenis,Action,2009,42958
kamigoroshi,RPG,2015,42948
76561197966298550,Action,2015,42943
skotavus,Indie,2011,42923
sad-commie,Strategy,2016,42891
UnethicalPanda,Action,2012,42857
76561198073787527,Action,2013,42819
76561198077273975,Action,2015,42803
Noggi31,Simulation,2006,42780
Noggi31,Indie,2006,42780
76561198083376561,Action,2012,42745
76561198055096033,Simulation,2013,42738
76561197971074473,Action,2012,42692
the_abomination,Action,2013,42686
76561198077663677,Action,2012,42685
rotflmaoman,Action,2011,42662
rotflmaoman,Adventure,2011,42662
rotflmaoman,Indie,2011,42662
rotflmaoman,RPG,2011,42662
76561198057685527,RPG,2011,42649
76561198056997935,Indie,2011,42637
76561198056997935,RPG,2011,42637
76561198026497019,Action,2011,42632
76561198033992409,Strategy,2014,42608
Gigglestik,Action,2015,42607
76561197975863549,Strategy,2014,42607
76561198040890825,Action,2010,42585
phrostb,Adventure,2015,42574
76561198017614917,Action,2012,42572
gearlan,Action,2013,42565
76561198057685527,Indie,2011,42556
ZyhgarThestarweaver,Strategy,2013,42554
Harbringer-of-sorrow,Action,2010,42549
pooplel,Action,2015,42509
76561198054073078,Strategy,2013,42477
76561198043516885,Action,2012,42375
liambull,Action,2011,42347
76561198079627867,Action,2016,42328
76561198079627867,Casual,2016,42328
76561198079627867,RPG,2016,42328
76561198055096033,Simulation,2015,42318
76561198055096033,Indie,2015,42318
Quarity,Action,2015,42288
gangstapimpplaya,Action,2009,42283
niggerfag,RPG,2011,42214
niggerfag,Indie,2011,42214
niggerfag,Adventure,2011,42214
SweetSugar,Action,2015,42203
Legendary_Blu,Action,2011,42190
Harkugan,RPG,2009,42180
bwolf7803,Action,2012,42166
JayKayGray,Adventure,2015,42116
76561198042451234,Action,2011,42076
76561197971074473,RPG,2011,42071
76561197963549028,Action,2013,42068
76561198040890825,Action,2015,42050
Kebabsaregood,Simulation,2013,42032
Urotsuki,RPG,2011,42001
syrith,Indie,2011,41998
syrith,RPG,2011,41998
Gigglestik,Action,2012,41986
azza213,RPG,2015,41938
76561198011218089,Action,2013,41924
Sp3ctre,Action,2017,41917
76561198048240622,Free to Play,2012,41917
Sp3ctre,Indie,2017,41917
Sp3ctre,Adventure,2017,41917
qqmp,RPG,2014,41908
aMaewi,Action,2011,41902
76561197978426585,Action,2016,41894
LordJacques,Strategy,2016,41848
-AnimeIsMyThing-,Action,2015,41848
Sitchy,Indie,2013,41845
76561198056997935,Action,2012,41842
76561198064484479,Action,2014,41826
76561198018684159,Strategy,2013,41813
76561198052190360,Indie,2015,41801
76561198011743390,RPG,2012,41767
FiggidyJiggidy,Free to Play,2015,41764
aMaewi,RPG,2011,41745
76561198033433261,Action,2012,41744
76561197971074473,Action,2011,41740
MXKiN,Action,2009,41733
1001101001110101,Action,2013,41648
76561198045540232,Action,2010,41609
comquack,RPG,2015,41543
76561198056549802,Strategy,2015,41507
nobody114514,Action,2015,41486
claicorx,Strategy,2013,41473
RegularSmokeyJoe,Strategy,2014,41454
RegularSmokeyJoe,Simulation,2014,41454
Rhyzak,Action,2011,41438
davidjgriffith,Action,2011,41432
SzechuanB,Indie,2012,41416
JohnnyMcShitty,Action,2004,41412
76561198106488845,Action,2013,41329
76561198025883153,Action,2012,41314
76561197995418864,Action,2011,41310
TOP0409,Strategy,2015,41275
exotiksnipa,Action,2015,41258
76561198060808273,Action,2009,41236
76561198026239418,Action,2015,41234
76561198026239418,Adventure,2015,41234
shinomegami,RPG,2010,41224
bwolf7803,RPG,2014,41222
76561198075749223,Action,2016,41220
76561198018465863,Adventure,2011,41206
NinjaAssasin420,Adventure,2015,41160
samemint,Action,2012,41151
76561198056735088,Action,2011,41146
Warrfoxx,Adventure,2015,41140
SKARRRMaera,Action,2011,41138
76561198066621462,Free to Play,2015,41136
76561198061097219,Action,2013,41134
conordarley1998,Indie,2015,41132
Portals,RPG,2012,41106
skwavicus,Action,2013,41104
shinomegami,Simulation,2013,41078
syntheticflyingfox,Action,2014,41024
76561198047208452,Adventure,2013,41014
76561198026497019,Action,2012,40948
76561198007521657,Indie,2015,40938
DeadCyngus,Action,2013,40926
sidtheangrygamer,Action,2015,40920
Lord_Marius,Strategy,2013,40893
76561197998873955,Adventure,2013,40876
bwolf7803,Action,2015,40858
76561197986916169,Strategy,2009,40855
iRunner,Action,2011,40832
76561198056884067,Action,2013,40828
76561198037702238,RPG,2012,40809
chilla1,RPG,2010,40774
76561198056735088,RPG,2010,40772
76561198056735088,Free to Play,2010,40772
76561198056735088,Massively Multiplayer,2010,40772
76561198077273975,Adventure,2015,40761
76561197994892526,RPG,2010,40757
not_a_weeaboo,Action,2012,40738
76561198047208452,Adventure,2014,40736
SenatorArmstrong123,Action,2016,40733
76561198008336955,Action,2012,40687
doctr,Action,2012,40672
76561197995582054,Action,2011,40662
syntheticflyingfox,Action,2004,40648
76561198042170355,Action,2014,40645
76561198055096033,Action,2013,40620
finnept,Action,2011,40598
SzechuanB,Action,2012,40580
KatsukiYuu,Action,2013,40522
KatsukiYuu,Adventure,2013,40522
TruBru,Action,2015,40485
76561198077663677,Adventure,2012,40469
Simipoo,Indie,2015,40464
FiggidyJiggidy,Indie,2015,40431
76561198018577288,Action,2012,40416
Gigglestik,RPG,2015,40391
76561198018736748,RPG,2011,40336
76561198018736748,Indie,2011,40336
76561198018736748,Adventure,2011,40336
76561198031319986,Action,2011,40321
76561197976652491,RPG,2010,40298
bwolf7803,Indie,2012,40266
Steamified,Strategy,2014,40260
quickkandy98,Action,2012,40258
76561198052928427,Action,2011,40251
Delphaeus,Action,2012,40240
Duchvelka,Massively Multiplayer,2013,40224
Duchvelka,Indie,2013,40224
Duchvelka,Early Access,2013,40224
L4M1NAS,Action,2011,40212
L4M1NAS,Indie,2011,40212
L4M1NAS,Adventure,2011,40212
L4M1NAS,RPG,2011,40212
tobscene,Action,2014,40200
Gigglestik,Action,2011,40164
REBAS_AS_F-T,RPG,2012,40153
76561198064484479,Free to Play,2013,40114
Luneix,Action,2012,40113
niggerfag,Action,2012,40094
CNAFE2364,RPG,2011,40094
76561198055179537,Action,2012,40087
theservant,Strategy,2010,40074
TheSuccIsGudd,Action,2012,40072
nitrorupe,Simulation,2015,40020
nitrorupe,Free to Play,2015,40020
nitrorupe,RPG,2015,40020
nitrorupe,Casual,2015,40020
nitrorupe,Strategy,2015,40020
76561198046036119,Action,2012,39993
76561198001032055,Indie,2015,39961
76561198061021230,RPG,2010,39956
76561198017659661,Free to Play,2012,39921
76561198017659661,Massively Multiplayer,2012,39921
adi_a12,Action,2016,39907
76561198011333937,Strategy,2010,39904
Talizaeus,Simulation,2006,39768
Talizaeus,Indie,2006,39768
zeroepix,Strategy,2014,39762
76561198067257274,Adventure,2013,39688
surya111,Action,2010,39686
76561198065322400,Free to Play,2012,39677
76561198011333937,Strategy,2013,39646
76561198007390829,Action,2010,39645
76561198007390829,RPG,2010,39645
MagiKFred,Strategy,2009,39630
76561198053868175,Indie,2011,39589
76561198053868175,Action,2011,39589
76561198053868175,RPG,2011,39589
76561198007745188,Strategy,2013,39557
Animax117,Massively Multiplayer,2011,39554
Animax117,Free to Play,2011,39554
76561198016740850,Action,2012,39524
JambiGaming,Action,2012,39499
REBAS_AS_F-T,Simulation,2013,39487
76561198066621462,RPG,2012,39384
76561197971074473,RPG,2012,39334
corrupted_soul,Action,2014,39296
47enth,Action,2010,39279
76561198059107861,Action,2012,39276
piepai,Casual,2015,39228
76561198024531364,Action,2015,39162
SwinburnCyphenMisslemike,Action,2011,39157
76561197985247422,RPG,2013,39130
76561197985247422,Adventure,2013,39130
omnixbro,Action,2015,39083
76561197983944271,Action,2010,39077
76561198017614917,Simulation,2013,39073
X03-Suits,Action,2004,39063
astrasimon,Action,2010,39031
sythilian,Action,2015,39030
LordJacques,Action,2016,38973
smasher6784,Action,2010,38972
76561198035005990,Action,2011,38946
Sitchy,Indie,2012,38930
nobody114514,Action,2016,38929
76561198044383808,RPG,2011,38902
Simipoo,Free to Play,2015,38850
edyac,Action,2012,38834
76561198067884266,Action,2012,38834
pieman98,Action,2012,38833
76561198042451234,Action,2014,38832
76561198042451234,RPG,2014,38832
76561198050361199,Action,2012,38808
Harkugan,RPG,2010,38792
76561197995418864,Action,2004,38792
liamsplace,Strategy,2010,38774
AlmightyShippo,Adventure,2014,38749
76561198042451234,RPG,2011,38736
triggernyar,RPG,2011,38707
ulramite,Action,2012,38705
Xuchiex,Action,2015,38705
archy18,Indie,2015,38703
76561198055291139,Action,2010,38682
theryanator,Action,2013,38628
Wdsy,Indie,2015,38579
76561198038840599,Action,2011,38568
ProfPoultry,RPG,2010,38562
76561197971074473,Indie,2011,38555
76561198003447788,Action,2014,38537
76561197977544920,Action,2012,38511
Tomsen1,Indie,2013,38490
76561198017524014,Action,2013,38480
tobscene,RPG,2010,38480
Pinguinbeta18,Action,2015,38468
76561198026239418,Strategy,2015,38466
76561198070102633,Action,2012,38457
76561198035472583,RPG,2010,38452
76561198035472583,Action,2010,38452
Gilsham,RPG,2015,38448
76561198011743390,RPG,2011,38442
76561198048709944,Action,2011,38438
staecrh,Action,2009,38436
Global,Strategy,2012,38424
76561198064983179,Action,2013,38395
frogmcvape,RPG,2015,38389
sythilian,Indie,2015,38373
Cow666,Strategy,2013,38368
MIMMATA,Action,2012,38362
Stevio_Pistachio,RPG,2011,38342
Terminally-Chill,Action,2013,38301
skotavus,Strategy,2012,38301
kamigoroshi,Action,2009,38282
JohnnyMcShitty,Indie,2014,38282
Baronlord,Action,2012,38273
BlackadderV,Action,2015,38186
76561198018465863,Action,2013,38156
Kebabsaregood,Action,2014,38148
bigodo,Action,2009,38142
76561198045507259,Strategy,2010,38128
76561197979731785,Action,2012,38123
76561198078138335,Strategy,2015,38110
Global,Strategy,2010,38091
X03-Suits,Free to Play,2013,38079
X03-Suits,Action,2013,38079
76561198035999413,RPG,2011,38066
76561198008783917,Action,2011,38065
76561197999075044,RPG,2015,38038
76561198026725437,Adventure,2010,38018
76561198041303312,Indie,2011,38015
76561197995418864,Action,2012,38012
76561198033713264,Action,2010,37974
RegularSmokeyJoe,Strategy,2011,37972
Warrfoxx,Indie,2015,37961
76561198018465863,Action,2015,37954
SenatorArmstrong123,Action,2014,37948
Howaboutsomegoodoldsuicide,Action,2016,37948
76561198057988265,Strategy,2010,37938
mendicant_bias,Action,2013,37880
Sothere,RPG,2010,37871
mrjaksauce,Action,2012,37829
76561198063439860,Action,2012,37818
vonravend,Strategy,2014,37805
76561198049516830,RPG,2010,37774
ZeMadScientist,Action,2012,37772
76561198039503420,Action,2011,37769
76561198066375702,Free to Play,2010,37762
76561198066375702,Massively Multiplayer,2010,37762
Sp3ctre,Action,2010,37702
76561198056392712,Action,2011,37701
76561198038840599,RPG,2011,37694
ButteryTyrant,Action,2013,37684
aMaewi,Indie,2011,37678
MinTony,Strategy,2013,37640
MinTony,Simulation,2013,37640
stopgovtcorruption,Indie,2014,37622
76561198038486363,RPG,2010,37614
76561198056735088,Action,2014,37612
76561198008119091,Adventure,2012,37585
FiggidyJiggidy,Casual,2015,37580
stopgovtcorruption,Adventure,2015,37572
warpeddemon,RPG,2015,37571
kruger287,Action,2013,37560
76561198027081791,Indie,2012,37553
pieman98,Action,2015,37546
AngusTheCow,Indie,2011,37533
AngusTheCow,RPG,2011,37533
76561198017275546,Strategy,2013,37519
PippleKipple,Simulation,2013,37501
finnept,RPG,2011,37475
Ppkdoevil,Action,2009,37456
76561198008895770,Indie,2015,37445
76561198008783917,Indie,2011,37439
conordarley1998,Action,2015,37414
Sothere,Action,2010,37410
76561197992755277,Action,2015,37394
76561198054155652,Action,2015,37366
PwnArt1st,Indie,2014,37346
76561198042879129,Action,2011,37346
sergioxks1,Adventure,2015,37324
76561198056741844,Strategy,2013,37321
76561198126500843,Free to Play,2017,37312
76561198047679159,Strategy,2013,37309
nathaniel1902,Action,2012,37301
FluffiestChicken,Action,2011,37285
NaukaD,Strategy,2014,37281
Louis_98,RPG,2012,37268
Louis_98,Action,2012,37268
76561198039509150,Action,2011,37261
Kebabsaregood,Adventure,2013,37254
bhajina,Action,2014,37252
UnseenGuitar,Action,2010,37204
76561198043516885,Action,2015,37182
76561197995418864,Action,2009,37176
76561197994892526,Action,2010,37175
Blackbirdm3,Action,2013,37174
sploger,Adventure,2011,37154
sploger,Action,2011,37154
76561198027233818,RPG,2010,37153
76561198082588112,Adventure,2011,37148
