developer,year_posted,recommend,review_sent
PolyPusher Studios,2015,1,0
Artifice Studio,2015,0,0
"PopTop Software,BreakAway Games,Frog City Software",2014,0,0
Artifex Mundi,2016,0,0
Portalarium,2016,0,0
ProjectorGames,2014,0,0
Artery Games,2012,1,0
Puny Human,2015,0,0
Ragequit Corporation,2016,0,0
Rain Games,2014,0,0
Armature Studio,2016,0,0
Raptor Claw Games,2016,0,0
Raylight Games,2015,0,0
Reakktor Studios,2016,1,0
Reality Pump,2015,0,0
Reality Pump Studios,2015,1,0
Retro Yeti Games,2016,1,0
Retronic Games,2015,0,0
Rising Star Games,2014,1,0
Rocket Bear Games,2013,1,0
Rockstar North,2014,1,0
"Rodeo Games,Twistplay",2015,0,0
Roll7,2016,1,0
Plethora-Project LLC,2016,2,0
Bare Mettle Entertainment,2016,0,0
Ascension Entertainment LLC,2016,1,0
Playata GmbH,2016,1,0
Baller Industries,2016,0,0
NGD Studios,2015,1,0
NIGORO,2013,0,0
Nemesys Games,2014,1,0
NeoCoreGames,2012,0,0
Nerdook Productions,2015,1,0
BS1 &amp; BSL Team,2014,1,0
Net Games Laboratory,2016,0,0
Niffler Ltd.,2014,1,0
Number None,2016,0,0
Octoshark Studios,2012,1,0
Oreol,2015,1,0
Orion Games,2014,0,0
Orthogonal Games,2014,1,0
Owl Cave,2014,1,0
PIXOWL INC.,2015,0,0
Panzer Gaming Studios,2014,0,0
Pencil Test Studios,2016,1,0
PestoForce,2016,0,0
Phenomenon Games,2014,1,0
Phenomenon Games,2015,1,0
Phr00t's Software,2013,1,0
PiGravity,2016,0,0
"Aspyr,Quantic Dream (original release)",2016,1,0
PillowPigGames,2015,1,0
Playbrains,2010,1,0
Aquiris Game Studio,2015,1,0
Insurgency Development Team,2015,0,0
"Bitl,Cobalt-57",2015,0,0
Day 1 Studios,2012,1,0
Dead Mage,2014,0,0
Dead Shark Triplepunch,2016,1,0
Dekovir Entertainment,2015,1,0
Burut CT,2014,1,0
Devil's Details,2011,1,0
Digital Dawn Studios,2016,0,0
Digital Leisure Inc.,2016,0,0
Diminished Studios,2016,0,0
DnS Development,2014,0,0
DnS Development,2015,0,0
Broken Rules,2011,0,0
"EA - Maxis,Aspyr (Mac)",2013,0,0
EA Redwood Shores,2011,1,0
Breakfall,2015,1,0
EXOR Studios,2014,1,0
Ed Key and David Kanaga,2013,0,0
Edelweiss,2015,1,0
Brain Bombers,2014,0,0
Edmund McMillen and Florian Himsl,2016,1,0
Eggtooth Team,2013,1,0
Egosoft,2014,0,0
Egosoft,2016,0,0
Eidos Interactive,2014,0,0
Eidos Studio Hungary,2016,0,0
David Szymanski,2014,0,0
EightyEightGames,2016,1,0
Dark Artz Entertainment,2013,0,0
Dancing Dragon Games,2015,0,0
Centauri Production,2015,0,0
Chaosoft Games,2014,1,0
Cipher Prime Studios,2015,1,0
City Interactive,2011,1,0
City Interactive,2016,0,0
CivilSavages,2016,0,0
ClickGames,2016,0,0
Cadenza Interactive,2016,1,0
Cliffhanger Productions,2014,1,0
Code Club AB,2016,1,0
Codemasters Action Studio,2014,0,0
Codemasters Studios,2015,0,0
Colonthree Enterprises,2015,0,0
"Comcept,Inti Creates",2016,0,0
"Coreplay GmbH,Bigmoon Studios",2013,1,0
Crankshaft Games,2012,1,0
"Creative Assembly, PC Port - Hardlight",2014,0,0
CreativeForge Games,2014,0,0
Crian Soft,2015,0,0
CI Games,2016,0,0
Critical Studio,2015,0,0
Cyanide Montreal,2014,0,0
Cyanide Studios,2016,1,0
DEADFACTORY,2016,0,0
DICE,2010,1,0
Dark Amber Softworks,2015,0,0
Instant Kingdom,2016,1,0
Born Ready Games Ltd.,2016,0,0
Bongfish GmbH,2015,0,0
Geniaware Srl,2016,0,0
Gravity Interactive,2013,0,0
Grip Games,2016,1,0
Blendo Games,2015,1,0
Guru Games,2016,1,0
Blendo Games,2013,0,0
Hanako Games,2015,1,0
HandMade Game,2015,0,0
Headup Games / Crenetic,2014,1,0
Hellbent Games,2016,1,0
"Henrique Pegacha,Rafael Lima,Nuno Guerreiro",2015,0,0
Heydeck Games,2016,1,0
Blackhole,2014,0,0
Hidden Path Entertainment,2013,1,0
Black Sea Studios Ltd,2014,1,0
Hothead Games,2014,2,0
Hypercane Studios,2014,1,0
Black Lion Studios,2014,0,0
IF Studios,2014,0,0
IMGN.PRO,2015,1,0
IO Interactive,2014,1,0
IO Interactive,2016,0,0
"Ice-Pick Lodge,General Arcade",2016,1,0
"Idea Factory,Compile Heart,Sting",2016,0,0
"Iguana Entertainment,Nightdive Studios",2016,1,0
Genee Network,2014,0,0
Entheogen Studios LLC,2014,0,0
"Gaslamp Games, Inc.",2012,1,0
Blooming Buds Studio,2016,1,0
Eren Aydın,2016,1,0
Eric Provan - Ayyo Games,2014,0,0
Bombservice,2016,1,0
Evil Twin Artworks,2014,0,0
Exor Studios,2015,1,0
Extrokold Games,2016,1,0
Failbetter Games,2016,1,0
Bob the Game Development Bot,2015,1,0
Fancy Fish Games,2016,0,0
Fishlabs Entertainment GmbH,2014,0,0
Flying Wild Hog,2011,1,0
Flying Wild Hog,2012,1,0
"Fortress Forever Development Team,Trepid Studios",2015,1,0
BlueGiant Interactive,2013,0,0
"Fortress Forever Development Team,Trepid Studios",2016,0,0
Frictional Games,2011,1,0
Frogsong Studios AB,2016,0,0
Full Control,2015,0,0
Blue Mammoth Games,2014,2,0
Gaijin Entertainment Corporation,2016,1,0
GameArt Studio GmbH,2015,0,0
GameCrafterTeam,2014,1,0
Blue Bottle Games,2016,1,0
GamePrix,2015,1,0
GameUS Inc,2016,0,0
Gas Powered Games,2010,1,0
RunServer,2016,1,0
Cape Copenhagen,2016,0,0
Anvate Games,2016,1,0
TML Studios,2014,0,0
Yacht Club Games,2016,1,0
Xtal Sword,2015,1,0
Abstraction Games,2015,1,0
Xaviant,2015,0,0
Tall Tail Studios,2015,1,0
Tamationgames,2016,2,0
2K Marin,2013,1,0
Tango Gameworks,2016,0,0
"X1 Software,AWAR",2016,1,0
Wyrmbyte,2016,1,0
AZAMATIKA,2016,0,0
Team 6 Studios,2014,1,0
Team 6 Studios,2016,0,0
"Team Bondi,Rockstar Leeds",2012,1,0
Team Murder,2016,1,0
Team17 Digital Ltd,2011,1,0
Technetium Games,2012,1,0
Teotl Studios,2013,0,0
TB Games,2016,0,0
T3 Entertainment,2015,0,0
YeaBoing,2013,1,0
Zeboyd Games,2015,1,0
"2K Australia,Gearbox Software,Aspyr (Mac,Linux)",2015,0,0
Splash Damage,2012,1,0
Spooky Squid Games Inc.,2014,1,0
Spooky Squid Games Inc.,2016,1,0
Square Enix Montréal,2016,0,0
Stainless Games,2012,1,0
"Standing Stone Games, LLC",2016,0,0
Steel Monkeys,2012,1,0
Zombie Panic Team,2015,1,0
Wanako Games,2011,1,0
Still Running,2015,1,0
Airtight Games,2011,1,0
Strategy First,2013,0,0
Zero Sum Games,2016,1,0
Zero Sum Games,2014,1,0
Studio Bean,2016,1,0
Studio Eres,2015,1,0
Sunlight Games,2014,0,0
Sunlight Games,2016,0,0
Acid Nerve,2015,3,0
Stoic,2016,1,0
"2K Australia,Gearbox Software,Aspyr (Mac,Linux)",2014,0,0
Teotl Studios,2015,0,0
Test3 Projects,2016,1,0
3000AD,2015,0,0
Totally Games,2015,1,0
800 North and Digital Ranch,2012,1,0
8-Bit Studio,2014,0,0
Touz,2015,1,0
Transcendent Games,2014,1,0
Trashmasters,2016,0,0
VIS - Visual Imagination Software,2015,1,0
TrerPlay,2016,2,0
Trinoteam,2015,0,0
"Triumph Studios,Virtual Programming",2013,1,0
Triverske,2016,1,0
Unigine LLC.,2015,1,0
Turbo Tape Games,2014,1,0
U.S. Army,2016,1,0
Underdog Games,2015,0,0
"UBIart Montpellier,Feral Interactive (Mac)",2015,0,0
Ubisoft  Shanghaï,2014,0,0
Ubisoft Montréal,2016,0,0
Vanguard Games,2011,1,0
"Vblank Entertainment, Inc.",2015,2,0
Tomasz Wacławek,2016,0,0
Tom De Roeck,2016,0,0
Teyon,2015,0,0
The Chinese Room,2013,2,0
WZOGI,2014,1,0
"The Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)",2010,1,0
VisualArts/Key,2014,2,0
The Farm 51,2013,1,0
Visceral Games,2015,1,0
A Crowd of Monsters,2015,1,0
"The Quinnspiracy,Patrick Lindsey,Isaac Schankler",2016,0,0
ACE Team,2015,3,0
Visceral Games,2014,1,0
Rune Forge,2016,0,0
Three Rings,2014,0,0
TimeGate Studios,2013,1,0
3 Sprockets,2013,1,0
TimeSymmetry,2016,1,0
Tin Man Games,2016,1,0
Tindalos Interactive,2016,1,0
Vertigo Games,2015,0,0
8888888 LABS,2013,1,0
The Sims Studio,2015,1,0
Spidermonk Entertainment,2015,2,0
"Ubisoft Paris,Red Storm Entertainment",2016,0,0
momoStorm Entertainment,2015,0,0
Sky Drake Studios,2016,0,0
Soccer Manager Ltd,2015,1,0
16bit Nights,2016,1,0
d3t,2016,1,0
Skinny Jean Death Studios,2015,1,0
oddonegames,2016,0,0
"Separate Game Development,Dagestan Technology",2016,1,0
Shadow Planet Productions,2013,1,0
Altar Games,2014,0,0
Angry Mob Games,2015,0,0
"gord10,Aslan Game Studio",2015,0,0
Sherman3D,2014,0,0
candyrocketstudio,2016,0,0
Smoking WOLF,2016,1,0
Shark Punch,2015,1,0
Alien Sync Interactive,2015,1,0
Small Town Studios,2015,1,0
Slant Six Games,2015,0,0
Slant Six Games,2012,0,0
Andrii Vintsevych,2016,0,0
ShaunJS,2015,0,0
1C:InoCo,2015,0,0
"gord10,Aslan Game Studio",2016,1,0
increpare games,2014,1,0
"SkyBox Labs,Forgotten Empires",2015,1,0
1C: Maddox Games,2016,1,0
Smashball Labs LLC,2015,0,0
souvenir circ.,2015,1,0
1C Company,2011,0,0
14° East,2013,1,0
xXarabongXx,2016,2,0
"Amaranth Games, LLC",2015,0,0
Runic Games,2011,1,0
Aleksey Abramenko,2014,0,0
Silk Games,2015,1,0
Silver Wish Games,2015,0,0
app2fun,2016,0,0
b-Alive,2014,0,0
"Silverlode Interactive,Wasatch Games",2015,1,0
Rusty Lake,2016,1,0
tinyBuild,2015,1,0
ninjalex,2016,0,0
Silesia Games Sp. z o.o.,2014,0,0
nFusion Interactive,2015,0,0
11 bit studios,2011,1,0
2D BOY,2015,0,0
Scary Bee LLC,2015,1,0
"Schine, GmbH",2014,0,0
Sigma Team Inc.,2016,1,0
Andrew Gilmour,2016,0,0
SionoiS,2016,0,0
neko.works,2016,1,0
storm_sharks,2015,0,0
Screwfly Studios,2014,1,0
"Fabio Ferrara,Giulia Airoldi",2015,2,1
Vifth Floor,2016,1,1
Flump Studios,2015,1,1
"Filip Victor,Valve",2016,1,1
practicing01,2015,1,1
nornware AB,2015,1,1
"Creative Assembly, PC Port - Hardlight",2016,0,1
Crazy Moo Games,2015,0,1
Forever Entertainment S. A.,2014,0,1
practicing01,2016,0,1
GameCrafterTeam,2016,2,1
varlamov5264,2015,1,1
Charyb Games,2016,1,1
Cipher Prime Studios,2014,1,1
"GameConnect,InterWave Studios",2015,1,1
United Front Games,2012,1,1
Gaijin Entertainment,2013,1,1
G-TraX,2016,1,1
the whale husband,2016,1,1
Unknown Worlds Entertainment,2012,2,1
FullPowerSideAttack.com,2014,1,1
tamationgames,2016,1,1
VIS Interactive,2011,1,1
VStep,2014,1,1
ClockStone,2015,1,1
Frictional Games,2010,2,1
Freegamer,2014,1,1
Freakinware Limited,2016,1,1
CodeBrush Games,2016,1,1
roseVeRte,2015,0,1
"Fabio Ferrara,Davide Caio,Nicolò Azzolini,Antonio Carcagnì,Luigi Di Guida,Tommaso Vita",2016,1,1
Focus Home Interactive,2014,1,1
quad games,2015,0,1
Conrad Nelson,2015,1,1
Fabio Ferrara,2016,1,1
Digital Leisure Inc.,2015,1,1
Vogelsap,2015,1,1
cupholder,2016,1,1
Zeroscale,2014,2,1
"Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios",2016,0,1
Ductape studio,2016,2,1
Droqen,2014,0,1
DrinkBox Studios,2015,1,1
DreaMory,2016,1,1
Deconstructeam,2015,2,1
Deconstructeam,2016,1,1
Deion Mobile,2015,1,1
"Dragonfly GF Co., LTD",2016,1,1
"Dragonfly GF Co., LTD",2015,0,1
ESTsoft Corp.,2016,0,1
b-alive gmbh,2015,1,1
Double Helix Games,2015,1,1
Double Damage Games,2015,1,1
Desert Owl Games LLC,2014,1,1
Destructive Creations,2015,2,1
Dogenzaka Lab,2016,1,1
Doctor Entertainment AB,2013,1,1
DiezelPower,2015,1,1
app2fun,2015,0,1
Zombie Studios,2015,0,1
Digital Furnace Games,2016,0,1
Digitalmindsoft,2013,1,1
Zoë Mode,2014,1,1
Dekovir Entertainment,2016,2,1
dobro_slon,2016,1,1
Zeboyd Games,2016,1,1
EXOR Studios,2015,1,1
"Volition,Reactor Zero,THQ Nordic",2016,1,1
Evan Todd,2016,1,1
Wales Interactive,2015,0,1
Warfare Studios,2016,1,1
Digital Leisure Inc.,2014,1,1
"Croteam,Alligator Pit",2014,1,1
Wild Games Studio,2016,0,1
EnsenaSoft,2016,1,1
Endless Loop Studios,2016,0,1
Empty Clip Studios,2012,1,1
Elijah Newman-Gomez,2016,1,1
Crystal Dynamics,2016,0,1
Crytek,2013,1,1
ElagoTech,2016,1,1
Cyanide Studios,2015,1,1
D-Pad Studio,2016,1,1
"Eidos Montreal,Feral Interactive (Mac)",2016,2,1
"Xavi Canal, Ben Palgi",2016,0,1
Damaged,2015,0,1
"YOTSUBANE,Adventure Planning Service",2016,1,1
"Eden Games,Hydravision Entertainment",2015,0,1
"Damian Sommer,Emily Carroll",2016,1,1
Zbigniew Ochman,2015,1,1
"Daniel Snd,Thiago Adamo",2016,1,1
Darius Bode,2016,0,1
electrolyte,2016,1,1
EasyGameStation,2013,1,1
"Vlambeer,Croteam",2016,0,1
EA - Maxis,2016,0,1
Immersive Douro,2015,0,1
Gameguyz,2016,0,1
Space Budgie,2014,1,1
Somi,2016,1,1
Old School Games,2015,1,1
"Capybara,Superbrothers,Jim Guthrie",2016,0,1
"Olli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano",2013,1,1
Solest Games,2014,0,1
"Noviy Disk,Lesta Studios Inc",2014,0,1
Snails Animation,2015,1,1
Osumia Games,2014,3,1
Osumia Games,2016,2,1
Smolders,2016,1,1
Owlchemy Labs,2013,1,1
PERFECT PARALLEL,2015,0,1
Phoenix Game Studio,2014,1,1
Oryx Design Lab,2015,1,1
Phoenix Studio,2015,1,1
"Nova Dimension,Naga Entertainment",2016,1,1
Nocturnal works,2015,1,1
Spry Fox LLC,2014,1,1
NGD Studios,2013,1,1
Nacho Games,2015,1,1
Naiad Entertainment LLC,2015,1,1
Spiders,2013,1,1
NeocoreGames,2014,1,1
Nomad Games,2016,0,1
NeocoreGames,2015,1,1
Nerd Kingdom Inc.,2014,1,1
Spellbound Studios,2010,1,1
"Sparpweed,Codeglue",2014,1,1
NetherRealm Studios,2015,1,1
Space Budgie,2016,1,1
Nihon Falcom,2013,1,1
NeocoreGames,2016,1,1
Skyjaz Games,2016,0,1
Phr00t's Software,2015,1,1
Sky Fallen,2013,1,1
Razvan,2015,0,1
Secret Base,2012,1,1
Realmforge Studios,2016,1,1
Reentry Games,2016,1,1
"Relic Entertainment,Europe at War Development Team",2016,1,1
"Relic Entertainment,Feral Interactive (Mac/Linux)",2012,1,1
Ratloop Asia,2015,1,1
Sean Davy,2015,1,1
STRIKEWORKS,2016,1,1
Rocksteady,2016,0,1
"Rogue Star,Boreal Sun,Spider,Deadman",2016,0,1
Russpuppy,2015,1,1
"Roman Anatolevich,Denis Ovsyannikov",2016,1,1
Rsupport Inc.,2014,1,1
Rhaon Entertainment,2016,0,1
Rake in Grass,2016,1,1
Shawn Beck,2015,2,1
Racing Bros,2016,0,1
Piranha Games Inc.,2016,2,1
Pixeljam,2014,1,1
Pixeljam,2015,1,1
PlayWay S.A.,2014,1,1
Playbrains,2015,0,1
Playdead,2012,1,1
Size Five Games,2014,1,1
Point Five Projects,2015,0,1
Simon Roth,2014,1,1
Positech Games,2011,1,1
ProjectorGames,2015,1,1
Shiver Games,2016,1,1
Prospect Games,2016,1,1
Q-Games Ltd.,2014,1,1
QCF Design,2013,1,1
Stainless Games Ltd,2016,1,1
Stamina-Games,2016,1,1
Steel Monkeys,2013,1,1
Mojang,2016,0,1
Tlön Studios,2016,1,1
IPACS,2014,1,1
"Idea Factory,Compile Heart",2015,1,1
Three Gates,2014,1,1
Infinity Ward,2012,1,1
Ino-Co Plus,2016,1,1
"Toadman Interactive,Fatshark",2015,1,1
InterAction studios,2016,1,1
Io-Interactive A/S,2012,1,1
"Io-Interactive A/S,Feral Interactive (Mac)",2012,1,1
"Iron Galaxy Studios, LLC",2013,1,1
"Iron Galaxy Studios, LLC",2016,1,1
The Dept of Silly Stuff,2016,1,1
The Creative Assembly,2016,1,1
Io-Interactive A/S,2011,1,1
HyperSloth,2015,0,1
Home Net Games,2016,0,1
"Holy Warp,Black Wing Foundation",2015,1,1
"GearBox Software,Aspyr (Mac &amp; Linux)",2015,1,1
General Arcade,2014,1,1
Gone North Games,2014,1,1
Troika Games,2015,1,1
Gravity Interactive,2014,1,1
"Gravvit Ltd,Forbes  Consult Ltd",2015,1,1
"Haemimont Games,Feral Interactive (Mac)",2015,1,1
Halissoni,2016,1,1
Trav Nash,2015,2,1
Headup Games / Radon Labs,2016,0,1
Hemisphere Games,2014,1,1
Tomorrow Corporation,2012,1,1
Hipix Studio,2016,1,1
Hitcents,2016,1,1
Holotech Studios,2015,1,1
JE Software,2016,1,1
"Ubisoft Paris,Red Storm Entertainment",2015,1,1
Jae Lee Productions,2014,1,1
John Szymanski,2016,1,1
Ludosity,2015,2,1
Subatomic Studios LLC,2012,1,1
Studio TeamShuriken,2016,1,1
Maschinen-Mensch,2016,1,1
"Mediatonic,Hato Moa,The Irregular Corporation",2016,2,1
"Mediatonic,The Irregular Corporation",2014,1,1
Lucky Frame,2014,1,1
Streum On Studio,2013,2,1
Metanet Software Inc.,2016,1,1
Straight Right,2015,1,1
Stout Games,2015,0,1
MinMax Games Ltd.,2016,1,1
Mirillis,2016,1,1
Steel Monkeys,2015,1,1
Strangely Interactive Ltd,2016,1,1
Synergy Team,2012,1,1
"Luc Bernard,SilverSphereStudios",2014,0,1
Little Green Men Games,2016,1,1
"JumpStart Games, Inc.",2016,1,1
KIXEYE,2016,0,1
"Team NINJA,KOEI TECMO GAMES CO., LTD.",2016,0,1
Kew McParlane,2016,1,1
Team Meat,2010,1,1
"Team Bondi,Rockstar Leeds",2016,1,1
Kloonigames,2014,0,1
Kot in Action Creative Artel,2014,0,1
Targem Games,2015,1,1
Tango Gameworks,2015,3,1
Tale of Tales,2015,1,1
Tale of Tales,2013,1,1
"TT Games,Traveller's Tales",2016,0,1
TNT Team,2016,1,1
Little Freedom Factory,2016,1,1
"Tequila Works, S.L.",2015,1,1
07th Expansion,2015,2,1
"高考恋爱委员会,橘子班",2016,1,1
Abraham Carreola,2016,0,1
Avalanche Software,2014,1,1
Artefacts Studios,2016,1,1
BlinkWorks Media,2015,1,1
CAT IN JAR GAMES,2015,0,1
"BioWare,Aspyr (Mac)",2011,1,1
Ankama Studio,2016,1,1
Alex Zhang,2015,1,1
Artery Games,2015,0,1
Black Isle Studios,2013,0,1
Boss Baddie,2014,2,1
A Crowd of Monsters,2016,1,1
Aleksey Abramenko,2015,0,1
Blue Isle Studios,2013,2,1
Baller Industries,2015,1,1
Akakiy Petrushkin,2016,1,1
Cadenza Interactive,2014,1,1
Aspyr,2016,0,1
"CAPCOM Co., Ltd.",2014,3,1
BetaDwarf,2015,3,1
Altar Games,2015,0,1
Atom Republic,2016,1,1
"CD PROJEKT RED,Can Explode",2016,0,1
Anteater Games,2016,0,1
Browny Application,2014,0,1
Aldorlea Games,2016,1,1
30.06 Studios Ltd,2016,1,1
Animation Arts,2015,1,1
BlueEagle Productions,2016,1,1
Cabygon,2015,1,1
Brightrock Games,2013,0,1
"Action Button Entertainment, LLC",2016,1,1
Arrowhead Game Studios,2012,2,1
Amanita Design,2010,1,1
ALLPlayer Group Ltd.,2014,1,1
Abstract Tree Studio,2016,0,1
Access Games,2015,1,1
"CINEMAX, s.r.o.",2012,1,1
49 Games,2015,1,1
07th Expansion,2016,1,1
Adam Foster,2013,1,1
BlueLine Games,2016,1,1
Netcore Games,2015,1,2
Nerd Kingdom Inc.,2015,1,2
Night Node,2014,1,2
Obsidian Entertainment,2010,1,2
Neversoft,2016,1,2
Octoshark Studios,2013,1,2
Never Don't Play,2015,1,2
BUGBEAR,2013,1,2
Netmarble Games,2016,0,2
Odin Game Studio,2016,0,2
Net Games Laboratory,2014,0,2
BRHP,2016,0,2
OVERDRIVE,2016,1,2
BANDAI NAMCO Studio Inc.,2016,2,2
OhNoo Studio,2016,1,2
Old B1ood,2016,2,2
Oddworld Inhabitants,2012,1,2
Axyos Games,2015,1,2
"Northway Games,Sarah Northway",2015,1,2
Nihon Falcom,2014,1,2
Noumena Studios,2016,1,2
"Northway Games,Sarah Northway",2014,1,2
North of Earth,2014,1,2
North of Earth,2013,1,2
Nomad Games,2013,1,2
Nom Nom Games,2015,1,2
Noble Master LLC,2016,1,2
No Brakes Games,2016,1,2
Nival,2015,1,2
Ninja Robot Dinosaur,2016,1,2
BUGBEAR,2014,1,2
"Nova Dimension,Naga Entertainment",2014,1,2
Nine Dots Studio,2015,1,2
Novel Tea Games,2016,1,2
"Nina Freeman,Laura Knetzger,Stephen Lawrence Clark",2015,1,2
"Nina Freeman,Emmett Butler,Decky Coss,Joni Kittaka",2016,1,2
AwesomeBlade,2015,1,2
Numantian Games,2015,1,2
Nimbly Games,2016,1,2
Number None,2012,1,2
Nimbly Games,2015,1,2
Nikita,2014,0,2
Nyamyam,2015,1,2
OCCA Studios,2015,1,2
Number None,2014,1,2
Nate Schmold,2014,1,2
Bacon Wrapped Games,2015,1,2
Mommy's Best Games,2014,1,2
Mokus,2016,1,2
Modern Dream,2016,1,2
Modern Dream,2015,1,2
Mode 7,2015,1,2
Beam Team Games,2016,1,2
MobileBits,2015,0,2
Mixamo,2015,1,2
"Mithis Games,THQ Nordic",2013,1,2
Mirko Seithe,2015,1,2
Mint Age Studios,2016,2,2
MiniBoss,2016,1,2
Monkeys Tales Studio,2016,1,2
Mindstorm Studios,2013,1,2
MinMax Games Ltd.,2011,1,2
Mihai Morosanu,2016,1,2
Mighty Rocket Studio,2014,1,2
"Mighty Rabbit Studios,Gun.",2016,1,2
"Mighty Rabbit Studios,Gun.",2015,1,2
"Mighty Rabbit Studios,Gun Media",2015,1,2
Mighty Rabbit Studios,2015,1,2
Might and Delight,2016,1,2
"Midgar Studio,Fusty Game",2016,1,2
"MidBoss, LLC.",2016,1,2
"MicroProse Software, Inc",2016,2,2
"MicroProse Software, Inc",2014,2,2
BeamNG,2016,1,2
"Monochrome, Inc",2015,2,2
Batholith Entertainment,2016,1,2
Monolith,2016,2,2
"BadFly Interactive, a.s.",2014,2,2
Neoclassic Games,2016,1,2
NeoCoreGames,2014,0,2
"BadFly Interactive, a.s.",2015,1,2
Nemesys Games,2013,1,2
Neko Entertainment,2014,1,2
"Capcom U.S.A., Inc.",2016,1,2
Nate Schmold,2016,1,2
Nadeo,2012,1,2
Nadeo,2010,1,2
NIGORO,2015,1,2
NAMCO BANDAI Games,2014,2,2
N3V Games,2016,0,2
N3V Games,2015,1,2
Myrtilus Entertainment,2015,1,2
Muzzy Lane Software,2016,1,2
Muzzy Lane Software,2015,1,2
Murudai,2012,1,2
MuHa Games,2015,1,2
Mountain Sheep,2014,1,2
Most Wanted Entertainment,2014,1,2
Moonlite Software,2015,1,2
"Monolith Productions, Inc.,Timegate",2016,1,2
"Bat Country Games, LLC",2014,1,2
"Monolith Productions, Inc.,Feral Interactive (Mac),Feral Interactive (Linux)",2016,1,2
Monolith Productions,2016,0,2
"Bat Country Games, LLC",2015,1,2
Neople,2016,1,2
Old School Games,2016,1,2
Oreol,2016,1,2
"Oleg Sergeev,Andrey Rumak,Do My Best",2016,1,2
Artefacts Studio,2014,1,2
Proxy Studios,2015,1,2
Priority Interrupt,2016,0,2
Priority Interrupt,2015,1,2
Primal,2015,1,2
Pribuni,2015,1,2
Press Play,2014,1,2
Praxia Entertainment Inc,2016,1,2
Powerhoof,2015,1,2
Power of 2,2016,1,2
Power of 2,2011,1,2
PostMod Softworks,2015,1,2
PostMod Softworks,2014,1,2
Positech Games,2012,1,2
Portalarium,2015,1,2
Poppermost Productions,2013,1,2
"PopCap Games, Inc.",2012,2,2
"PopCap Games, Inc.",2011,1,2
Polytron Corporation,2016,1,2
Ascaron,2015,1,2
PolyKid,2015,1,2
"PolarityFlow,Adrian Zingg",2015,1,2
Polar Motion,2016,1,2
Ascaron Entertainment ltd.,2015,1,2
PlazSoft,2016,0,2
Aspyr,2013,1,2
Aspyr,2014,1,2
Puppygames,2011,1,2
Puppygames,2013,1,2
Pwnee Studios,2014,1,2
Pyro Studios,2014,2,2
Arkedo,2014,1,2
Ratloop Asia,2014,1,2
Raptor Claw Games,2015,0,2
Rake in Grass,2015,2,2
Rake in Grass,2014,1,2
"Rainbow Studios,THQ Nordic",2016,2,2
"Rainbow Studios,THQ Nordic",2015,0,2
Rainbow Games,2015,1,2
Ragiva Games e.K.,2015,1,2
RageSquid,2015,1,2
Radical Fish Games,2015,1,2
Radical Entertainment,2016,0,2
Radical Entertainment,2015,4,2
Aspyr,2015,1,2
Radical Entertainment,2013,1,2
Radical Entertainment,2010,1,2
